cwe,richness,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,L1.name,L2.name,L3.name,geometry
0.015432927,5,10.064874649047852,18.508167266845703,2.816499948501587,1246,223,7,80.86894226074219,607,33,45,607,14.037416458129885,44.96289825439453,655.84600830078125,28.461000442504883,-2.759000062942505,31.220001220703125,2.816499948501587,18.322500228881836,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-22500, 52500)"
0.038258582,53,6.551000118255615,15.09683322906494,-0.382999986410141,1044,188,10,77.2544937133789,506,44,51,506,13.81933307647705,44.62311935424805,648.0537109375,24.777000427246097,-6.191999912261963,30.9689998626709,-0.382999986410141,14.714333534240724,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-7500, 52500)"
0.034445582,8,4.133041858673096,13.071499824523926,-3.0906665325164795,832,146,14,70.98743438720703,393,52,57,393,14.501916885375977,44.24823760986328,668.3160400390625,23.195999145507812,-9.57800006866455,32.77399826049805,-3.0906665325164795,12.435832977294922,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(7500, 52500)"
0.03128538,39,3.5565834045410156,12.415166854858398,-3.5091664791107178,717,124,15,67.36779022216797,334,54,58,334,14.838333129882812,44.91972732543945,659.4639892578125,22.684999465942383,-10.347999572753906,33.032997131347656,-3.5091664791107178,11.755666732788086,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(22500, 52500)"
0.040964503,20,3.7048332691192623,12.554166793823242,-3.4168334007263184,615,104,17,63.266544342041016,281,57,60,281,15.736666679382324,46.46196365356445,663.73089599609375,23.145999908447266,-10.723999977111816,33.869998931884766,-3.4168334007263184,12.06350040435791,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(37500, 52500)"
0.070846304,57,3.4683334827423096,12.4888334274292,-4.108166694641113,538,87,18,57.63420104980469,235,59,60,235,16.94066619873047,47.717498779296875,684.5035400390625,23.687000274658203,-11.8149995803833,35.50199890136719,-4.108166694641113,12.00783348083496,North american deserts,Cold deserts,Central basin and range,"c(52500, 52500)"
0.009437142,2,6.481291770935059,15.81333351135254,-1.9393333196640017,288,43,14,43.417633056640625,117,45,47,117,18.73991584777832,48.5918083190918,728.47052001953125,28.084999084472656,-10.480999946594238,38.56599807739258,-1.9393333196640017,15.688499450683594,North american deserts,Cold deserts,Central basin and range,"c(67500, 52500)"
0.025675701,24,13.057167053222656,16.145999908447266,9.822667121887209,1003,205,3,90.8290023803711,534,14,24,534,12.382999420166016,64.66993713378906,259.54986572265625,23.47599983215332,4.328000068664551,19.147998809814453,9.822667121887209,15.689332962036133,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-262500, 37500)"
0.015958953,5,13.862500190734863,18.307832717895508,9.36750030517578,947,197,2,92.83512115478516,516,11,19,516,14.372166633605955,59.1641960144043,364.7632141113281,27.26799964904785,2.9760000705718994,24.29199981689453,9.36750030517578,17.740833282470703,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-247500, 37500)"
0.029087426,12,14.694499969482422,20.11549949645996,9.26633358001709,824,173,1,93.0216293334961,453,9,15,453,14.944666862487791,56.03339385986328,446.9076232910156,29.611000061035156,2.940000057220459,26.67099952697754,9.26633358001709,19.777999877929688,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-232500, 37500)"
